connector,payment_method,payment_method_type,feature,description,hs_endpoint,cypress_test_status
stripe,BankRedirect,BancontactCard,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,BankRedirect,Blik,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankRedirect,Ideal,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,BankRedirect,OnlineBankingFpx,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankRedirect,Przelewy24,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankRedirect,Sofort,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,BankTransfer,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankTransfer,Bacs,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankTransfer,Multibanco,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankTransfer,SepaBankTransfer,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
stripe,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
stripe,PayLater,Affirm,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,PayLater,AfterpayClearpay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,Wallet,AliPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,Wallet,AmazonPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,Wallet,AmazonPay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,Wallet,Cashapp,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,Wallet,Cashapp,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,Wallet,RevolutPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,Wallet,RevolutPay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,Wallet,WeChatPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
tesouro,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
tesouro,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
tesouro,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
tesouro,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
tesouro,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
tesouro,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
tesouro,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
tesouro,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
tokenio,OpenBanking,OpenBankingPIS,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
truelayer,BankRedirect,OpenBanking,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
trustly,BankRedirect,Trustly,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
trustpay,BankRedirect,Blik,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,BankTransfer,InstantBankTransfer,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,BankTransfer,InstantBankTransferFinland,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,BankTransfer,InstantBankTransferPoland,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,BankTransfer,SepaBankTransfer,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,NetworkToken,NetworkToken,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpay,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
trustpay,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
trustpayments,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
trustpayments,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
tsys,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
tsys,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
volt,BankRedirect,OpenBanking,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
volt,BankRedirect,OpenBankingUk,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
wellsfargo,BankDebit,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
wellsfargo,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
wellsfargo,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
wellsfargo,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
wellsfargo,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
wellsfargo,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
wellsfargo,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
wellsfargo,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
wellsfargo,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
worldline,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
worldline,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
worldline,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
worldline,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
worldpay,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
worldpay,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
worldpay,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
worldpay,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
worldpay,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
worldpay,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
worldpaymodular,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
worldpaymodular,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
worldpaymodular,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
worldpaymodular,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
worldpayvantiv,Card,Card,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
worldpayvantiv,Card,Card,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
worldpayvantiv,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
worldpayvantiv,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
worldpayvantiv,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
worldpayvantiv,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
worldpayvantiv,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
worldpayvantiv,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
worldpayvantiv,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
worldpayvantiv,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
worldpayxml,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
worldpayxml,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
worldpayxml,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
worldpayxml,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
worldpayxml,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
worldpayxml,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
xendit,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
xendit,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
xendit,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
xendit,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
xendit,RealTimePayment,Qris,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
xendit,RealTimePayment,Qris,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
zen,BankTransfer,Multibanco,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,BankTransfer,Pix,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,BankTransfer,Pse,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Voucher,Boleto,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Voucher,Efecty,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Voucher,PagoEfectivo,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Voucher,RedCompra,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Voucher,RedPagos,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zen,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
zift,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
zift,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
zift,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
zift,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
zsl,BankTransfer,LocalBankTransfer,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
adyen,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",covered
adyen,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",covered
adyen,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",covered
archipel,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
bankofamerica,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
bankofamerica,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
bankofamerica,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
barclaycard,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
barclaycard,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
barclaycard,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
braintree,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
braintree,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
braintree,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
checkout,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
checkout,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
checkout,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
cybersource,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
cybersource,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
cybersource,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
finix,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
finix,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
finix,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
fiserv,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
fiuu,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
fiuu,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
fiuu,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
gocardless,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",no_cypress_config
gocardless,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",no_cypress_config
gocardless,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",no_cypress_config
hipay,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
hipay,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
hipay,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
mollie,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
mollie,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
mollie,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
nmi,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
nmi,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
nmi,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
nuvei,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
nuvei,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
payme,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",no_cypress_config
payme,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",no_cypress_config
payme,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",no_cypress_config
paysafe,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
square,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
square,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
square,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
stax,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
stax,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
stax,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
stripe,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
stripe,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
stripe,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
tesouro,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
tesouro,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
wellsfargo,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
wellsfargo,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
wellsfargo,Wallet,Paze,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (Paze pre-decrypted token)",not_covered
worldpayvantiv,Wallet,ApplePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (ApplePay pre-decrypted token)",not_covered
worldpayvantiv,Wallet,GooglePay,"Payment (Decrypt Flow)","HS pre-decrypts the wallet token and sends plaintext card data to the connector instead of the encrypted blob","POST /payments (GooglePay pre-decrypted token)",not_covered
